source,target,type,,,,,,,time
Jérôme de Vocelle,Ile de la Tortue,Commercial,Jean Grouart,Ile de la Tortue,,Verger,4/2E/1951,Procuration,23/02/1971
? Vallet,Ile St Domingue,Commerce,Joseph Labelle,"Léogane, Ile St Domingue",,Delalande,4/2E/627,Déclaration,01/01/1976
? Vallet,Ile St Domingue,Commerce,Jean Michel,,,Delalande,4/2E/627,Déclaration,01/01/1976
? Vallet,Ile St Domingue,Commerce,Jacques Allain,,,Delalande,4/2E/627,Déclaration,01/01/1976
? Vallet,Ile St Domingue,Commerce,Hubert Antheaume,"St Nicolas, Nantes",La Rochelle,Delalande,4/2E/627,Déclaration,01/01/1976
Renée Maheur,St Eustache Paris,Commerce,Isabelle Maheu,St Eustache Paris,,Delalande,4/2E/627,Procuration,12/06/1976
Renée Maheur,St Eustache Paris,Commerce,Hubert Antheaume,Ile St Domingue,,Delalande,4/2E/627,Procuration,12/06/1976
Marie Paulet,St Eustache Paris,Commerce,Marie-Anne de Lamarche,St Eustache Paris,,Delalande,4/2E/627,Procuration,12/06/1976
Marie Paulet,St Eustache Paris,Commerce,Hubert Antheaume,Ile St Domingue,,Delalande,4/2E/627,Procuration,12/06/1976
Jean Mersant,"St Nicolas, Nantes",Commerce,Madeleine Boucher,"St Nicolas, Nantes",,Delalande,4/2E/643,Procuration,19/01/1992
Cornelis Wils,,Commerce,Thymen Van Schoonhoven,,,Verger,4/2E/1936,Cambie,01/02/1964
Pierre Guinebaud,,Commerce,Euzebe de Loynes,Orléans,,Verger,4/2E/1936,Cambie,01/02/1964
Marie Boucher,"St Nicolas, Nantes",Commerce,Jean Baptiste Foucaud,Orléans,,Verger,4/2E/1936,Cambie,01/02/1964
Catherine Lefebvre,Bourgneuf,Commerce,"Elizabeth Monnier, dame de la Joffrairie",Bourgneuf,,Verger,4/2E/1945,Pouvoir,28/04/1968
Marie Boucher,"St Nicolas, Nantes",Commerce,François Masson,,,Verger,4/2E/1945,Pouvoir,01/05/1968
"Elizabeth Monnier, dame de la Joffrairie",Bourgneuf,Commerce,Marie Boucher,"St Nicolas, Nantes",,Verger,4/2E/1945,Pouvoir,01/05/1968
Marie Boucher,"St Nicolas, Nantes",Commerce,Jacques Boucher,"St Nicolas, Nantes",,Verger,4/2E/1950,Fretement,09/09/1970
Marie Boucher,"St Nicolas, Nantes",Commerce,Jean Boucher,Ile St Christophe,,Verger,4/2E/1950,Mariage,12/10/1970
Jean Merceron sr de la Poitevinière,"St Nicolas, Nantes",Commerce,Hubert Antheaume,"St Nicolas, Nantes",,Verger,4/2E/1950,Mariage,12/10/1970
Jacques Antheaume,Ile St Domingue,Commerce,Hubert Antheaume,"St Nicolas, Nantes",,Verger,4/2E/1951,Procuration,12/06/1969
Hubert Antheaume,"St Nicolas, Nantes",Commerce,Bernard Godin,Ile St Domingue,,Verger,4/2E/1951,Engagement,11/02/1971
